,ProjectName,PrimaryLanguage,Stars,TotalOfPullRequests,TotalOfIssues,TotalOfForks,Engagement
85,marmelab/react-admin,TypeScript,20847,4390,3897,4596,4294.333333333333
86,codex-team/editor.js,TypeScript,20456,875,1140,1602,1205.6666666666667
87,notable/notable,TypeScript,20431,74,1539,1034,882.3333333333334
88,withfig/autocomplete,TypeScript,20347,1194,438,4725,2119.0
89,electron-react-boilerplate/electron-react-boilerplate,TypeScript,20334,1539,1728,3441,2236.0
90,youzan/vant,TypeScript,20319,4544,6422,9380,6782.0
91,felixrieseberg/windows95,TypeScript,20147,55,225,1193,491.0
92,pnpm/pnpm,TypeScript,20066,2220,2756,592,1856.0
93,jhipster/generator-jhipster,TypeScript,20020,12875,7149,3890,7971.333333333333
94,pmndrs/react-three-fiber,TypeScript,20015,529,754,1122,801.6666666666666
95,remix-run/remix,TypeScript,19844,2136,1106,1594,1612.0
96,lensapp/lens,TypeScript,19636,3556,2871,1094,2507.0
97,TanStack/table,TypeScript,19589,847,2138,2618,1867.6666666666667
98,railsware/upterm,TypeScript,19386,566,752,656,658.0
99,palantir/blueprint,TypeScript,19371,2803,2791,2066,2553.3333333333335
100,vadimdemedes/ink,TypeScript,19275,238,287,521,348.6666666666667
101,graphql/graphql-js,TypeScript,19116,2656,1023,2045,1908.0
102,refined-github/refined-github,TypeScript,19107,2869,3171,1344,2461.3333333333335
103,recharts/recharts,TypeScript,19083,514,2467,1452,1477.6666666666667
104,backstage/backstage,TypeScript,18860,10423,3358,3151,5644.0
105,reduxjs/reselect,TypeScript,18773,203,373,690,422.0
106,Redocly/redoc,TypeScript,18719,602,1575,2038,1405.0
107,BabylonJS/Babylon.js,TypeScript,18603,10374,2737,2943,5351.333333333333
108,jquense/yup,TypeScript,18599,442,1371,799,870.6666666666666
109,AykutSarac/jsoncrack.com,TypeScript,18541,71,133,880,361.3333333333333
110,wenyan-lang/wenyan,TypeScript,18523,192,483,1075,583.3333333333334
111,Molunerfinn/PicGo,TypeScript,18468,32,890,1929,950.3333333333334
112,GeekyAnts/NativeBase,TypeScript,18459,2152,3258,2290,2566.6666666666665
113,react-dnd/react-dnd,TypeScript,18362,1891,1617,1881,1796.3333333333333
114,basarat/typescript-book,TypeScript,18334,416,255,2318,996.3333333333334
115,oldj/SwitchHosts,TypeScript,18276,69,685,2083,945.6666666666666
116,pubkey/rxdb,TypeScript,18270,3444,555,907,1635.3333333333333
117,apollographql/apollo-client,TypeScript,18169,5258,4501,2482,4080.3333333333335
118,directus/directus,TypeScript,18016,5451,5510,2136,4365.666666666667
119,elastic/kibana,TypeScript,17946,94473,49074,7474,50340.333333333336
120,fingerprintjs/fingerprintjs,TypeScript,17714,264,509,2017,930.0
121,GoogleChromeLabs/squoosh,TypeScript,17646,733,540,1213,828.6666666666666
122,eclipse-theia/theia,TypeScript,17473,5082,6051,2261,4464.666666666667
123,reduxjs/redux-thunk,TypeScript,17381,117,203,1059,459.6666666666667
124,alibaba/ice,TypeScript,17353,3017,2437,2063,2505.6666666666665
125,tailwindlabs/headlessui,TypeScript,17213,423,704,665,597.3333333333334
126,outline/outline,TypeScript,16999,1548,1809,1463,1606.6666666666667
127,ueberdosis/tiptap,TypeScript,16729,605,1828,1525,1319.3333333333333
128,tensorflow/tfjs,TypeScript,16672,3372,3578,1764,2904.6666666666665
129,material-components/material-components-web,TypeScript,16430,4714,2886,2189,3263.0
130,ionic-team/ionicons,TypeScript,16398,183,950,2031,1054.6666666666667
131,framer/motion,TypeScript,16315,631,1082,500,737.6666666666666
132,desktop/desktop,TypeScript,16014,5014,9296,8425,7578.333333333333
133,airbnb/visx,TypeScript,16001,672,674,631,659.0
134,teambit/bit,TypeScript,15924,4798,1640,874,2437.3333333333335
135,ustbhuangyi/better-scroll,TypeScript,15804,206,1092,2595,1297.6666666666667
136,wulkano/Kap,TypeScript,15721,413,730,782,641.6666666666666
137,redis/node-redis,TypeScript,15611,749,1534,1724,1335.6666666666667
138,fullcalendar/fullcalendar,TypeScript,15522,566,6431,3425,3474.0
139,mantinedev/mantine,TypeScript,15276,874,985,979,946.0
140,nhn/tui.editor,TypeScript,15266,1373,1388,1519,1426.6666666666667
141,flatpickr/flatpickr,TypeScript,15244,626,2044,1372,1347.3333333333333
142,darkreader/darkreader,TypeScript,15169,6026,3829,1970,3941.6666666666665
143,Tencent/vConsole,TypeScript,15127,180,387,2945,1170.6666666666667
144,redwoodjs/redwood,TypeScript,15006,4879,1849,803,2510.3333333333335
145,nrwl/nx,TypeScript,15001,6497,5719,1456,4557.333333333333
146,the1812/Bilibili-Evolved,TypeScript,14994,253,2246,1317,1272.0
147,airbnb/react-sketchapp,TypeScript,14916,227,299,889,471.6666666666667
148,pyscript/pyscript,TypeScript,14734,433,437,1067,645.6666666666666
149,alan2207/bulletproof-react,TypeScript,14730,46,50,1221,439.0
150,CopyTranslator/CopyTranslator,TypeScript,14606,86,392,1809,762.3333333333334
151,wangeditor-team/wangEditor,TypeScript,14594,555,4366,2928,2616.3333333333335
152,medusajs/medusa,TypeScript,14488,1762,667,930,1119.6666666666667
153,cyrildiagne/ar-cutpaste,TypeScript,14460,35,84,2055,724.6666666666666
154,learn-anything/learn-anything,TypeScript,14433,9,0,938,315.6666666666667
155,infinitered/ignite,TypeScript,14379,962,1194,1178,1111.3333333333333
156,justadudewhohacks/face-api.js,TypeScript,14335,101,768,3288,1385.6666666666667
157,graphql/graphiql,TypeScript,14230,1815,924,1570,1436.3333333333333
158,sass/sass,TypeScript,14191,642,2728,2022,1797.3333333333333
159,trpc/trpc,TypeScript,14185,2274,470,447,1063.6666666666667
160,remotion-dev/remotion,TypeScript,14184,824,556,618,666.0
161,feathersjs/feathers,TypeScript,14163,871,1845,690,1135.3333333333333
162,microsoft/fluentui,TypeScript,14157,14744,10212,2324,9093.333333333334
163,xtermjs/xterm.js,TypeScript,13921,2088,2091,1372,1850.3333333333333
164,calcom/cal.com,TypeScript,13891,3180,1776,1670,2208.6666666666665
165,angular-ui/ui-router,TypeScript,13687,662,3181,3114,2319.0
166,wechaty/wechaty,TypeScript,13616,872,1450,1904,1408.6666666666667
167,trufflesuite/truffle,TypeScript,13606,2696,2752,2264,2570.6666666666665
168,umijs/qiankun,TypeScript,13549,576,1629,1753,1319.3333333333333
169,pavlobu/deskreen,TypeScript,13534,68,128,728,308.0
170,formatjs/formatjs,TypeScript,13405,1987,1701,1359,1682.3333333333333
171,BrainJS/brain.js,TypeScript,13296,258,552,1056,622.0
172,prisma-archive/chromeless,TypeScript,13240,140,332,610,360.6666666666667
173,umijs/umi,TypeScript,13199,3139,5399,2354,3630.6666666666665
174,adonisjs/core,TypeScript,13118,274,1305,591,723.3333333333334
175,reduxjs/redux-devtools,TypeScript,13109,767,456,1073,765.3333333333334
176,expo/create-react-native-app,TypeScript,13034,181,719,1436,778.6666666666666
177,apollographql/apollo-server,TypeScript,12967,4512,2163,1984,2886.3333333333335
178,foambubble/foam,TypeScript,12965,524,542,544,536.6666666666666
179,chartist-js/chartist,TypeScript,12906,260,1103,2638,1333.6666666666667
180,lit/lit,TypeScript,12882,1663,1417,653,1244.3333333333333
181,signalapp/Signal-Desktop,TypeScript,12809,1040,5082,2337,2819.6666666666665
182,turbolinks/turbolinks,TypeScript,12786,124,488,639,417.0
183,mattermost/focalboard,TypeScript,12756,1942,1993,1020,1651.6666666666667
184,colinhacks/zod,TypeScript,12719,358,871,465,564.6666666666666
185,piotrwitek/react-redux-typescript-guide,TypeScript,12583,94,127,1011,410.6666666666667
186,danilowoz/react-content-loader,TypeScript,12561,156,125,420,233.66666666666666
187,jupyterlab/jupyterlab,TypeScript,12398,6355,6907,2481,5247.666666666667
188,typescript-eslint/typescript-eslint,TypeScript,12385,2813,3023,2347,2727.6666666666665
189,rt2zz/redux-persist,TypeScript,12369,410,1002,847,753.0
190,electron-userland/electron-builder,TypeScript,12365,1201,5895,1588,2894.6666666666665
191,wbkd/react-flow,TypeScript,12360,930,1033,802,921.6666666666666
192,conventional-changelog/commitlint,TypeScript,12318,2925,475,764,1388.0
193,vueuse/vueuse,TypeScript,12268,1298,898,1401,1199.0
194,rrweb-io/rrweb,TypeScript,12262,367,662,1063,697.3333333333334
195,baidu/amis,TypeScript,12215,2917,2664,1733,2438.0
196,blitz-js/blitz,TypeScript,12204,2047,454,712,1071.0
197,sindresorhus/got,TypeScript,12176,654,1327,842,941.0
198,linnovate/mean,TypeScript,12159,784,1262,3555,1867.0
199,OI-wiki/OI-wiki,TypeScript,12152,3666,738,2551,2318.3333333333335
200,BuilderIO/qwik,TypeScript,12131,1246,521,484,750.3333333333334
201,tinymce/tinymce,TypeScript,12063,2293,5784,2000,3359.0
202,facebook/flipper,TypeScript,12058,2902,1260,866,1676.0
203,video-dev/hls.js,TypeScript,12053,2580,2378,2306,2421.3333333333335
204,Tonejs/Tone.js,TypeScript,12007,238,885,921,681.3333333333334
205,FaridSafi/react-native-gifted-chat,TypeScript,11974,817,1471,3410,1899.3333333333333
206,rjsf-team/react-jsonschema-form,TypeScript,11971,1512,1658,1970,1713.3333333333333
207,nextauthjs/next-auth,TypeScript,11966,1339,2202,1442,1661.0
208,facebook/lexical,TypeScript,11896,2354,770,575,1233.0
209,compiler-explorer/compiler-explorer,TypeScript,11843,1842,2312,1350,1834.6666666666667
210,nexe/nexe,TypeScript,11814,145,840,525,503.3333333333333
211,ajv-validator/ajv,TypeScript,11745,699,1427,852,992.6666666666666
212,aurelia/framework,TypeScript,11736,277,698,679,551.3333333333334
213,tensorflow/tfjs-models,TypeScript,11708,1038,0,3727,1588.3333333333333
214,hotwired/stimulus,TypeScript,11596,241,343,349,311.0
215,graphile/postgraphile,TypeScript,11580,663,986,541,730.0
216,squidfunk/mkdocs-material,TypeScript,11433,2048,1574,2554,2058.6666666666665
217,onivim/oni,TypeScript,11428,1420,1343,337,1033.3333333333333
218,antvis/G2,TypeScript,11402,1580,2630,1483,1897.6666666666667
219,luin/ioredis,TypeScript,11391,435,1231,1016,894.0
220,taye/interact.js,TypeScript,11187,142,840,754,578.6666666666666
221,ionic-team/stencil,TypeScript,11122,1184,2531,715,1476.6666666666667
222,Chocobozzz/PeerTube,TypeScript,11065,1103,4198,1256,2185.6666666666665
223,VSCodeVim/Vim,TypeScript,11065,2635,5325,1141,3033.6666666666665
224,microsoft/TypeScript-React-Starter,TypeScript,10994,115,169,1208,497.3333333333333
225,TypeStrong/ts-node,TypeScript,10967,604,1135,466,735.0
226,kusti8/proton-native,TypeScript,10900,138,216,394,249.33333333333334
227,howdyai/botkit,TypeScript,10864,903,1312,2324,1513.0
228,novuhq/novu,TypeScript,10862,1190,558,679,809.0
229,highcharts/highcharts,TypeScript,10799,4625,13212,3137,6991.333333333333
230,mswjs/msw,TypeScript,10711,517,702,339,519.3333333333334
231,peers/peerjs,TypeScript,10693,180,815,1370,788.3333333333334
232,alibaba/hooks,TypeScript,10644,871,1012,1919,1267.3333333333333
233,microsoft/frontend-bootcamp,TypeScript,10632,242,41,1242,508.3333333333333
234,tusen-ai/naive-ui,TypeScript,10619,2088,1690,1170,1649.3333333333333
235,ant-design/ant-design-mobile,TypeScript,10608,1568,4016,2060,2548.0
236,tensorflow/playground,TypeScript,10603,64,107,2342,837.6666666666666
237,plouc/nivo,TypeScript,10599,687,1362,865,971.3333333333334
238,toeverything/AFFiNE,TypeScript,10578,330,154,413,299.0
239,snabbdom/snabbdom,TypeScript,10577,608,427,1080,705.0
240,styleguidist/react-styleguidist,TypeScript,10500,946,1093,1474,1171.0
241,pmndrs/jotai,TypeScript,10453,713,520,317,516.6666666666666
242,tldraw/tldraw,TypeScript,10406,529,457,588,524.6666666666666
243,nhn/tui.calendar,TypeScript,10243,533,715,1120,789.3333333333334
244,vercel/micro,TypeScript,10226,285,180,507,324.0
245,vuestorefront/vue-storefront,TypeScript,10218,3986,2573,2013,2857.3333333333335
246,googleapis/google-api-nodejs-client,TypeScript,10211,1536,1492,1875,1634.3333333333333
247,jacomyal/sigma.js,TypeScript,10186,294,1001,1542,945.6666666666666
248,cyclejs/cyclejs,TypeScript,10153,342,645,427,471.3333333333333
249,SigNoz/signoz,TypeScript,10117,904,690,536,710.0
250,barbajs/barba,TypeScript,9996,75,615,492,394.0
251,socketio/socket.io-client,TypeScript,9972,551,1003,3094,1549.3333333333333
252,botpress/botpress,TypeScript,9910,4590,1690,1326,2535.3333333333335
253,fkhadra/react-toastify,TypeScript,9891,215,606,546,455.6666666666667
254,javascript-obfuscator/javascript-obfuscator,TypeScript,9865,378,717,1161,752.0
255,callstack/react-native-paper,TypeScript,9864,1532,1844,1772,1716.0
256,renovatebot/renovate,TypeScript,9839,9789,5049,1335,5391.0
257,crimx/ext-saladict,TypeScript,9805,145,1690,636,823.6666666666666
258,BuilderIO/partytown,TypeScript,9730,123,143,257,174.33333333333334
259,callstack/linaria,TypeScript,9715,560,533,373,488.6666666666667
260,nuxt/framework,TypeScript,9680,2727,2783,873,2127.6666666666665
261,PostHog/posthog,TypeScript,9640,8562,3778,544,4294.666666666667
262,mongodb/node-mongodb-native,TypeScript,9559,2650,0,1750,1466.6666666666667
263,stackblitz/core,TypeScript,9485,49,2033,829,970.3333333333334
264,sindresorhus/pageres,TypeScript,9479,94,338,778,403.3333333333333
265,chimurai/http-proxy-middleware,TypeScript,9451,265,444,774,494.3333333333333
266,vercel/vercel,TypeScript,9429,3744,2080,1426,2416.6666666666665
267,nukeop/nuclear,TypeScript,9425,589,704,871,721.3333333333334
268,aws/aws-cdk,TypeScript,9414,10998,11088,2815,8300.333333333334
269,gitpod-io/gitpod,TypeScript,9402,6399,7586,924,4969.666666666667
270,caprover/caprover,TypeScript,9401,141,1260,648,683.0
271,dotansimha/graphql-code-generator,TypeScript,9360,5648,2311,1101,3020.0
272,FormidableLabs/spectacle,TypeScript,9347,699,544,723,655.3333333333334
273,inversify/InversifyJS,TypeScript,9342,634,827,658,706.3333333333334
274,akveo/react-native-ui-kitten,TypeScript,9337,535,1072,929,845.3333333333334
275,logaretm/vee-validate,TypeScript,9332,798,2908,1128,1611.3333333333333
276,xcatliu/typescript-tutorial,TypeScript,9328,90,138,1254,494.0
277,boardgameio/boardgame.io,TypeScript,9291,553,523,689,588.3333333333334
278,serverless-stack/sst,TypeScript,9285,1011,1052,776,946.3333333333334
279,antvis/G6,TypeScript,9267,868,2991,1139,1666.0
280,denoland/fresh,TypeScript,9262,414,335,365,371.3333333333333
281,ag-grid/ag-grid,TypeScript,9252,906,4775,1568,2416.3333333333335
282,helmetjs/helmet,TypeScript,9216,109,269,391,256.3333333333333
283,benawad/dogehouse,TypeScript,9167,1544,1220,1535,1433.0
284,rough-stuff/wired-elements,TypeScript,9162,72,115,317,168.0
285,gregberge/svgr,TypeScript,9128,283,485,388,385.3333333333333
286,sindresorhus/type-fest,TypeScript,9118,243,257,331,277.0
287,GoogleChromeLabs/comlink,TypeScript,9086,410,186,333,309.6666666666667
288,vuejs/pinia,TypeScript,9054,633,435,587,551.6666666666666
289,react-page/react-page,TypeScript,9007,413,679,617,569.6666666666666
290,aws-amplify/amplify-js,TypeScript,8954,2987,5479,1981,3482.3333333333335
291,keplergl/kepler.gl,TypeScript,8948,1013,1002,1520,1178.3333333333333
292,vector-im/element-web,TypeScript,8903,2465,20725,1550,8246.666666666666
293,tweenjs/tween.js,TypeScript,8878,295,331,1376,667.3333333333334
294,cs01/gdbgui,TypeScript,8876,143,294,525,320.6666666666667
295,amplication/amplication,TypeScript,8868,2574,1605,696,1625.0
296,James-Yu/LaTeX-Workshop,TypeScript,8855,906,2445,461,1270.6666666666667
297,captbaritone/webamp,TypeScript,8810,705,481,604,596.6666666666666
298,quicktype/quicktype,TypeScript,8758,879,1102,787,922.6666666666666
299,liupan1890/aliyunpan,TypeScript,8732,0,825,931,585.3333333333334
300,bloomrpc/bloomrpc,TypeScript,8682,165,285,424,291.3333333333333
301,alibaba/formily,TypeScript,8667,1280,1002,1211,1164.3333333333333
302,react-icons/react-icons,TypeScript,8657,179,423,548,383.3333333333333
303,reduxjs/redux-toolkit,TypeScript,8656,891,1550,818,1086.3333333333333
304,gcanti/fp-ts,TypeScript,8555,953,761,458,724.0
305,szimek/signature_pad,TypeScript,8551,183,457,1886,842.0
306,tensorflow/tfjs-core,TypeScript,8509,1538,0,982,840.0
307,devhubapp/devhub,TypeScript,8504,76,159,719,318.0
308,typestack/class-validator,TypeScript,8427,938,830,644,804.0
309,hediet/vscode-drawio,TypeScript,8399,109,226,353,229.33333333333334
310,howtographql/howtographql,TypeScript,8373,996,458,1146,866.6666666666666
311,akveo/eva-icons,TypeScript,8367,60,46,363,156.33333333333334
312,microsoft/reactxp,TypeScript,8341,801,548,575,641.3333333333334
313,konvajs/konva,TypeScript,8303,246,1148,745,713.0
314,NG-ZORRO/ng-zorro-antd,TypeScript,8287,3005,4565,3288,3619.3333333333335
315,rematch/rematch,TypeScript,8250,448,506,440,464.6666666666667
316,graphql/graphql-playground,TypeScript,8224,547,854,722,707.6666666666666
317,monkeytypegame/monkeytype,TypeScript,8208,1757,1367,1233,1452.3333333333333
318,alibaba/lowcode-engine,TypeScript,8204,230,908,1357,831.6666666666666
319,vercel/serve,TypeScript,8202,340,388,698,475.3333333333333
320,theatre-js/theatre,TypeScript,8200,224,98,229,183.66666666666666
321,t3-oss/create-t3-app,TypeScript,8180,442,197,337,325.3333333333333
322,developit/mitt,TypeScript,8159,73,94,379,182.0
323,nextui-org/nextui,TypeScript,8139,352,310,443,368.3333333333333
324,ionic-team/capacitor,TypeScript,8137,2176,2746,802,1908.0
325,sindresorhus/ky,TypeScript,8131,176,246,287,236.33333333333334
326,cuixiaorui/mini-vue,TypeScript,8126,51,31,1794,625.3333333333334
327,wix/react-native-calendars,TypeScript,8086,766,1296,2591,1551.0
328,reactjs/reactjs.org,TypeScript,8031,3766,1355,6534,3885.0
329,uber/baseweb,TypeScript,8025,4239,948,766,1984.3333333333333
330,ng-bootstrap/ng-bootstrap,TypeScript,8006,1996,2405,1482,1961.0
331,yiminghe/async-validator,TypeScript,7990,88,234,725,349.0
332,tinacms/tinacms,TypeScript,7981,1987,1183,405,1191.6666666666667
333,probot/probot,TypeScript,7979,944,686,968,866.0
334,sahat/satellizer,TypeScript,7920,302,855,1167,774.6666666666666
335,whyour/qinglong,TypeScript,7913,99,1493,2110,1234.0
336,AmruthPillai/Reactive-Resume,TypeScript,7880,381,665,1000,682.0
337,redux-observable/redux-observable,TypeScript,7829,474,298,504,425.3333333333333
338,retejs/rete,TypeScript,7824,50,510,535,365.0
339,payloadcms/payload,TypeScript,7820,445,265,326,345.3333333333333
340,faker-js/faker,TypeScript,7806,1031,366,602,666.3333333333334
341,oclif/oclif,TypeScript,7793,599,406,265,423.3333333333333
342,antvis/F2,TypeScript,7760,699,926,647,757.3333333333334
343,webdriverio/webdriverio,TypeScript,7749,4198,4502,2198,3632.6666666666665
344,microsoft/fast,TypeScript,7734,3861,2479,498,2279.3333333333335
345,ds300/patch-package,TypeScript,7668,91,332,223,215.33333333333334
346,Zettlr/Zettlr,TypeScript,7664,1199,2420,494,1371.0
347,akveo/nebular,TypeScript,7642,1243,1762,1478,1494.3333333333333
348,react-cosmos/react-cosmos,TypeScript,7638,917,461,348,575.3333333333334
349,api-platform/api-platform,TypeScript,7636,433,1743,914,1030.0
350,raineorshine/npm-check-updates,TypeScript,7620,498,711,309,506.0
351,Sairyss/domain-driven-hexagon,TypeScript,7575,28,40,696,254.66666666666666
352,LeetCode-OpenSource/vscode-leetcode,TypeScript,7552,239,610,580,476.3333333333333
353,FormidableLabs/urql,TypeScript,7539,1104,768,367,746.3333333333334
354,metricsgraphics/metrics-graphics,TypeScript,7477,242,717,518,492.3333333333333
355,shoelace-style/shoelace,TypeScript,7465,233,581,474,429.3333333333333
356,MichalLytek/type-graphql,TypeScript,7460,222,712,637,523.6666666666666
357,gitkraken/vscode-gitlens,TypeScript,7413,219,1864,760,947.6666666666666
358,hediet/vscode-debug-visualizer,TypeScript,7402,55,97,364,172.0
359,Raathigesh/majestic,TypeScript,7398,95,129,167,130.33333333333334
360,thx/rap2-delos,TypeScript,7394,39,851,1350,746.6666666666666
361,inorganik/countUp.js,TypeScript,7351,109,173,1396,559.3333333333334
362,adobe/react-spectrum,TypeScript,7346,2191,1223,593,1335.6666666666667
363,ngrx/platform,TypeScript,7324,1640,1901,1815,1785.3333333333333
364,juice-shop/juice-shop,TypeScript,7317,1175,723,6177,2691.6666666666665
365,daybrush/moveable,TypeScript,7288,47,701,472,406.6666666666667
366,projectstorm/react-diagrams,TypeScript,7288,206,758,1057,673.6666666666666
367,angular/angularfire,TypeScript,7287,873,2274,2183,1776.6666666666667
368,siyuan-note/siyuan,TypeScript,7269,25,6249,554,2276.0
369,pillarjs/path-to-regexp,TypeScript,7261,97,178,360,211.66666666666666
370,unocss/unocss,TypeScript,7260,850,775,352,659.0
371,Jigsaw-Code/outline-client,TypeScript,7219,742,689,1231,887.3333333333334
372,dotansimha/graphql-yoga,TypeScript,7185,1329,497,463,763.0
373,rolling-scopes/rsschool-app,TypeScript,7176,979,810,164,651.0
374,DylanVann/react-native-fast-image,TypeScript,7172,289,634,1224,715.6666666666666
375,utterance/utterances,TypeScript,7167,321,306,533,386.6666666666667
376,FullHuman/purgecss,TypeScript,7147,569,415,250,411.3333333333333
377,rsuite/rsuite,TypeScript,7145,1791,835,830,1152.0
378,sveltejs/sapper,TypeScript,7143,676,1108,468,750.6666666666666
